Name-Type,Name,Type,URL,Campaign,Region Mismatch,Actual Region,Wiki Region,Experience,Gold,Faction,Faction Type,"Base Reward 
(Zaishen Copper Coins)","First Bonus Reward
(Zaishen Copper Coins)","Second Bonus Reward (HM)
(Zaishen Copper Coins)",Total Zaishen Copper Coints
Flame Temple Corridor-Vanquish,Flame Temple Corridor,Vanquish,https://wiki.guildwars.com/wiki/Flame_Temple_Corridor_(Zaishen_vanquish),Prophecies,TRUE,Ascalon,Ascalon,"5,000","1,000",,,50,,,50
Prophet's Path-Vanquish,Prophet's Path,Vanquish,https://wiki.guildwars.com/wiki/Prophet%27s_Path_(Zaishen_vanquish),Prophecies,TRUE,Crystal Desert,Crystal Desert,"15,000","2,000",,,250,,,250
The Scar-Vanquish,The Scar,Vanquish,https://wiki.guildwars.com/wiki/The_Scar_(Zaishen_vanquish),Prophecies,TRUE,Crystal Desert,Crystal Desert,"15,000","2,000",,,250,,,250
Salt Flats-Vanquish,Salt Flats,Vanquish,https://wiki.guildwars.com/wiki/Salt_Flats_(Zaishen_vanquish),Prophecies,TRUE,Crystal Desert,Crystal Desert,"10,000","1,500",,,150,,,150
The Arid Sea-Vanquish,The Arid Sea,Vanquish,https://wiki.guildwars.com/wiki/The_Arid_Sea_(Zaishen_vanquish),Prophecies,TRUE,Crystal Desert,Crystal Desert,"10,000","1,500",,,150,,,150
Skyward Reach-Vanquish,Skyward Reach,Vanquish,https://wiki.guildwars.com/wiki/Skyward_Reach_(Zaishen_vanquish),Prophecies,TRUE,Crystal Desert,Crystal Desert,"10,000","1,500",,,150,,,150
Vulture Drifts-Vanquish,Vulture Drifts,Vanquish,https://wiki.guildwars.com/wiki/Vulture_Drifts_(Zaishen_vanquish),Prophecies,TRUE,Crystal Desert,Crystal Desert,"10,000","1,500",,,150,,,150
Diviner's Ascent-Vanquish,Diviner's Ascent,Vanquish,https://wiki.guildwars.com/wiki/Diviner%27s_Ascent_(Zaishen_vanquish),Prophecies,TRUE,Crystal Desert,Crystal Desert,"5,000","1,000",,,50,,,50
Kessex Peak-Vanquish,Kessex Peak,Vanquish,https://wiki.guildwars.com/wiki/Kessex_Peak_(Zaishen_vanquish),Prophecies,TRUE,Kryta,Kryta,"10,000","1,500",,,150,,,150
Majesty's Rest-Vanquish,Majesty's Rest,Vanquish,https://wiki.guildwars.com/wiki/Majesty%27s_Rest_(Zaishen_vanquish),Prophecies,TRUE,Kryta,Kryta,"10,000","1,500",,,150,,,150
Nebo Terrace-Vanquish,Nebo Terrace,Vanquish,https://wiki.guildwars.com/wiki/Nebo_Terrace_(Zaishen_vanquish),Prophecies,TRUE,Kryta,Kryta,"10,000","1,500",,,150,,,150
North Kryta Province-Vanquish,North Kryta Province,Vanquish,https://wiki.guildwars.com/wiki/North_Kryta_Province_(Zaishen_vanquish),Prophecies,TRUE,Kryta,Kryta,"10,000","1,500",,,150,,,150
Stingray Strand-Vanquish,Stingray Strand,Vanquish,https://wiki.guildwars.com/wiki/Stingray_Strand_(Zaishen_vanquish),Prophecies,TRUE,Kryta,Kryta,"10,000","1,500",,,150,,,150
Twin Serpent Lakes-Vanquish,Twin Serpent Lakes,Vanquish,https://wiki.guildwars.com/wiki/Twin_Serpent_Lakes_(Zaishen_vanquish),Prophecies,TRUE,Kryta,Kryta,"10,000","1,500",,,150,,,150
The Black Curtain-Vanquish,The Black Curtain,Vanquish,https://wiki.guildwars.com/wiki/The_Black_Curtain_(Zaishen_vanquish),Prophecies,TRUE,Kryta,Kryta,"10,000","1,500",,,150,,,150
Talmark Wilderness-Vanquish,Talmark Wilderness,Vanquish,https://wiki.guildwars.com/wiki/Talmark_Wilderness_(Zaishen_vanquish),Prophecies,TRUE,Kryta,Kryta,"10,000","1,500",,,150,,,150
Scoundrel's Rise-Vanquish,Scoundrel's Rise,Vanquish,https://wiki.guildwars.com/wiki/Scoundrel%27s_Rise_(Zaishen_vanquish),Prophecies,TRUE,Kryta,Kryta,"5,000","1,000",,,50,,,50
Cursed Lands-Vanquish,Cursed Lands,Vanquish,https://wiki.guildwars.com/wiki/Cursed_Lands_(Zaishen_vanquish),Prophecies,TRUE,Kryta,Kryta,"5,000","1,000",,,50,,,50
Watchtower Coast-Vanquish,Watchtower Coast,Vanquish,https://wiki.guildwars.com/wiki/Watchtower_Coast_(Zaishen_vanquish),Prophecies,TRUE,Kryta,Kryta,"5,000","1,000",,,50,,,50
Tears of the Fallen-Vanquish,Tears of the Fallen,Vanquish,https://wiki.guildwars.com/wiki/Tears_of_the_Fallen_(Zaishen_vanquish),Prophecies,TRUE,Kryta,Kryta,"5,000","1,000",,,50,,,50
The Falls-Vanquish,The Falls,Vanquish,https://wiki.guildwars.com/wiki/The_Falls_(Zaishen_vanquish),Prophecies,TRUE,Maguuma Jungle,Maguuma Jungle,"15,000","2,000",,,250,,,250
Sage Lands-Vanquish,Sage Lands,Vanquish,https://wiki.guildwars.com/wiki/Sage_Lands_(Zaishen_vanquish),Prophecies,TRUE,Maguuma Jungle,Maguuma Jungle,"10,000","1,500",,,150,,,150
Tangle Root-Vanquish,Tangle Root,Vanquish,https://wiki.guildwars.com/wiki/Tangle_Root_(Zaishen_vanquish),Prophecies,TRUE,Maguuma Jungle,Maguuma Jungle,"10,000","1,500",,,150,,,150
Silverwood-Vanquish,Silverwood,Vanquish,https://wiki.guildwars.com/wiki/Silverwood_(Zaishen_vanquish),Prophecies,TRUE,Maguuma Jungle,Maguuma Jungle,"10,000","1,500",,,150,,,150
Mamnoon Lagoon-Vanquish,Mamnoon Lagoon,Vanquish,https://wiki.guildwars.com/wiki/Mamnoon_Lagoon_(Zaishen_vanquish),Prophecies,TRUE,Maguuma Jungle,Maguuma Jungle,"5,000","1,000",,,50,,,50
Reed Bog-Vanquish,Reed Bog,Vanquish,https://wiki.guildwars.com/wiki/Reed_Bog_(Zaishen_vanquish),Prophecies,TRUE,Maguuma Jungle,Maguuma Jungle,"5,000","1,000",,,50,,,50
Dry Top-Vanquish,Dry Top,Vanquish,https://wiki.guildwars.com/wiki/Dry_Top_(Zaishen_vanquish),Prophecies,TRUE,Maguuma Jungle,Maguuma Jungle,"5,000","1,000",,,50,,,50
Ettin's Back-Vanquish,Ettin's Back,Vanquish,https://wiki.guildwars.com/wiki/Ettin%27s_Back_(Zaishen_vanquish),Prophecies,TRUE,Maguuma Jungle,Maguuma Jungle,"5,000","1,000",,,50,,,50
Iron Horse Mine-Vanquish,Iron Horse Mine,Vanquish,https://wiki.guildwars.com/wiki/Iron_Horse_Mine_(Zaishen_vanquish),Prophecies,TRUE,Northern Shiverpeaks,Northern Shiverpeaks,"10,000","1,500",,,150,,,150
Traveler's Vale-Vanquish,Traveler's Vale,Vanquish,https://wiki.guildwars.com/wiki/Traveler%27s_Vale_(Zaishen_vanquish),Prophecies,TRUE,Northern Shiverpeaks,Northern Shiverpeaks,"10,000","1,500",,,150,,,150
Anvil Rock-Vanquish,Anvil Rock,Vanquish,https://wiki.guildwars.com/wiki/Anvil_Rock_(Zaishen_vanquish),Prophecies,TRUE,Northern Shiverpeaks,Northern Shiverpeaks,"10,000","1,500",,,150,,,150
Deldrimor Bowl-Vanquish,Deldrimor Bowl,Vanquish,https://wiki.guildwars.com/wiki/Deldrimor_Bowl_(Zaishen_vanquish),Prophecies,TRUE,Northern Shiverpeaks,Northern Shiverpeaks,"10,000","1,500",,,150,,,150
Griffon's Mouth-Vanquish,Griffon's Mouth,Vanquish,https://wiki.guildwars.com/wiki/Griffon%27s_Mouth_(Zaishen_vanquish),Prophecies,TRUE,Northern Shiverpeaks,Northern Shiverpeaks,"5,000","1,000",,,50,,,50
Perdition Rock-Vanquish,Perdition Rock,Vanquish,https://wiki.guildwars.com/wiki/Perdition_Rock_(Zaishen_vanquish),Prophecies,TRUE,Ring of Fire Islands,Ring of Fire Islands,"15,000","2,000",,,250,,,250
Icedome-Vanquish,Icedome,Vanquish,https://wiki.guildwars.com/wiki/Icedome_(Zaishen_vanquish),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"15,000","2,000",,,250,,,250
Lornar's Pass-Vanquish,Lornar's Pass,Vanquish,https://wiki.guildwars.com/wiki/Lornar%27s_Pass_(Zaishen_vanquish),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"15,000","2,000",,,250,,,250
Snake Dance-Vanquish,Snake Dance,Vanquish,https://wiki.guildwars.com/wiki/Snake_Dance_(Zaishen_vanquish),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"15,000","2,000",,,250,,,250
Talus Chute-Vanquish,Talus Chute,Vanquish,https://wiki.guildwars.com/wiki/Talus_Chute_(Zaishen_vanquish),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"15,000","2,000",,,250,,,250
Mineral Springs-Vanquish,Mineral Springs,Vanquish,https://wiki.guildwars.com/wiki/Mineral_Springs_(Zaishen_vanquish),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"15,000","2,000",,,250,,,250
Dreadnought's Drift-Vanquish,Dreadnought's Drift,Vanquish,https://wiki.guildwars.com/wiki/Dreadnought%27s_Drift_(Zaishen_vanquish),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"15,000","2,000",,,250,,,250
Ice Floe-Vanquish,Ice Floe,Vanquish,https://wiki.guildwars.com/wiki/Ice_Floe_(Zaishen_vanquish),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"10,000","1,500",,,150,,,150
Spearhead Peak-Vanquish,Spearhead Peak,Vanquish,https://wiki.guildwars.com/wiki/Spearhead_Peak_(Zaishen_vanquish),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"10,000","1,500",,,150,,,150
Frozen Forest-Vanquish,Frozen Forest,Vanquish,https://wiki.guildwars.com/wiki/Frozen_Forest_(Zaishen_vanquish),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"10,000","1,500",,,150,,,150
Grenth's Footprint-Vanquish,Grenth's Footprint,Vanquish,https://wiki.guildwars.com/wiki/Grenth%27s_Footprint_(Zaishen_vanquish),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"10,000","1,500",,,150,,,150
Tasca's Demise-Vanquish,Tasca's Demise,Vanquish,https://wiki.guildwars.com/wiki/Tasca%27s_Demise_(Zaishen_vanquish),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"5,000","1,000",,,50,,,50
Witman's Folly-Vanquish,Witman's Folly,Vanquish,https://wiki.guildwars.com/wiki/Witman%27s_Folly_(Zaishen_vanquish),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"10,000","1,500",,,50,,,50
